number of aircraft,average cpu time,cpu variance,cost of replanning,num replannings
6.0,0.002501904964447,1.0665064686626074e-06,0.0,8.0
6.0,0.003293365240097,4.080877714735769e-06,0.0,8.0
6.0,0.002815818786621,2.6254452298720326e-06,0.0,10.0
6.0,0.0095694462458292,0.0001254237563766,9.0,6.0
6.0,0.0035231113433837,1.4902520319992618e-06,1.0,7.0
6.0,0.0033296516963413,3.779288587815072e-06,1.0,7.0
6.0,0.0028635433741978,2.3651835070787845e-06,0.0,7.0
6.0,0.0022334158420562,1.2353088020436838e-06,0.0,8.0
6.0,0.004204545702253,6.435889842816236e-06,0.0,7.0
6.0,0.003199428319931,1.5517162425331727e-05,0.0,8.0
6.0,0.0016816986931694,1.199572027290843e-06,0.0,9.0
6.0,0.0019842897142682,6.809055570383429e-07,0.0,7.0
6.0,0.003310481707255,5.551459308132204e-06,0.0,6.0
6.0,0.0035464366277058,1.2955959537445475e-05,1.0,6.0
